age,educ,logearn
27,2,6.5792513
25,3,5.9914646
55,3,7.2050037
34,4,6.6846118
53,5,6.856462
64,1,6.5307026
59,3,6.7844572
58,3,7.467371
56,2,6.3033514
36,3,7.3991594
45,2,7.377759
45,4,7.0501227
34,5,7.0501227
26,2,7.8240461
67,4,7.5616417
42,5,7.456316
40,4,7.159914
37,1,6.3577037
58,2,6.9077554
49,2,6.5510802
24,3,5.9914646
53,3,6.8679743
59,2,5.4413781
56,4,6.868526
58,2,7.0157123
46,2,6.7406964
46,2,7.3382382
41,4,7.8539929
43,3,7.0900769
32,3,6.652863
53,2,6.9157233
38,2,5.8468723
21,2,5.6237288
55,2,5.6645565
44,2,6.520371
39,2,5.6645565
60,2,7.130899
46,3,7.0210838
24,3,5.480639
46,2,7.2723985
41,3,6.8023949
66,3,4.5217886
47,3,7.7815561
56,5,7.456316
29,4,5.2470241
25,4,7.2050037
42,2,7.7604671
36,2,7.6199498
43,3,7.9669337
26,3,5.480639
57,2,6.5567784
32,2,6.0810766
61,3,7.4690838
24,3,6.9739175
50,2,7.029973
26,2,6.4738908
62,4,7.0030656
42,2,6.3969297
57,4,7.967145
46,2,6.2298708
24,4,7.1914291
32,2,6.5792513
32,2,6.5792513
23,2,7.2331738
62,5,7.3132205
21,2,7.1812878
37,2,7.1088986
64,1,7.0210838
49,2,7.130899
64,1,6.6846118
32,3,7.1019068
25,3,6.4710317
23,2,6.1092477
57,2,5.9889612
49,3,7.377759
37,3,6.3969297
35,4,7.0168786
64,1,5.7037826
28,1,6.6846118
50,3,6.8875527
34,1,6.1548581
63,2,6.6066504
26,1,6.7475867
33,1,5.8861041
47,4,7.9469433
33,3,6.6846118
30,3,6.3969297
42,2,7.0900769
38,2,6.1345472
60,3,6.1345472
59,4,5.8861041
24,3,5.8289456
27,3,6.6333184
28,3,6.1092477
46,3,7.0900769
55,1,6.0867748
43,2,6.3279366
49,2,6.779922
50,1,7.6568103
52,3,7.0501227
54,1,5.768321
64,4,7.5208578
34,3,6.6933236
30,4,7.3343291
40,2,6.6200733
30,1,6.3969297
51,3,6.9077554
46,2,6.8243737
36,4,7.4338436
31,5,7.3343291
24,4,5.8622098
48,4,7.3752556
55,1,5.1357985
37,3,7.4451432
54,4,7.3132205
48,3,6.9979615
42,2,6.7627296
57,2,7.0900769
22,3,5.7037826
64,4,7.2331738
50,2,6.9631901
50,4,6.9268026
38,3,5.9914646
64,4,6.6846118
44,3,7.8359747
40,3,6.7044144
35,3,6.3279366
51,3,6.9077554
50,1,6.025866
41,2,6.1737862
54,1,6.3969297
22,2,6.1737862
66,3,5.0751739
27,5,6.2146082
56,3,7.1115122
42,2,6.4614682
53,4,7.6962128
56,4,7.4599147
35,2,6.4530106
57,4,7.4599147
25,4,6.8035054
30,3,6.868526
66,4,4.9416423
71,5,5.2983174
45,2,6.1737862
60,2,7.0030656
48,5,7.3315644
43,4,7.2739944
42,2,7.2442274
59,4,7.967145
28,2,6.3969297
27,5,7.2723985
68,4,7.3626451
34,3,6.6200733
36,4,7.1612029
42,2,6.7631688
47,4,7.5912361
57,1,6.3279366
29,3,6.253829
32,2,6.3969297
35,1,6.779922
40,4,5.9720268
39,2,6.1737862
35,1,5.7525725
54,4,5.9914646
53,4,7.3132205
21,3,5.8289456
55,1,6.5510802
49,2,6.5792513
52,2,6.0402546
21,2,5.9914646
60,1,6.025866
45,3,6.2105999
26,1,6.1737862
69,2,5.0106354
39,4,7.6854734
30,2,6.2146082
60,2,5.7532072
51,2,6.6846118
41,2,6.9638424
56,1,6.3099184
26,3,5.480639
25,2,5.7037826
40,4,7.967145
57,3,6.3279366
26,3,7.0900769
41,2,6.5220928
33,2,6.0306854
44,1,5.9934626
21,1,5.1929569
56,5,7.9373746
34,4,6.4222398
51,2,5.8861041
29,3,6.1737862
21,3,5.2983174
46,3,6.5792513
71,1,5.8861041
41,3,6.3350544
23,3,5.1647859
60,4,7.9669337
38,2,5.7930136
27,4,7.7440023
31,3,7.130899
73,4,6.3969297
31,5,7.2605224
27,3,6.8875527
37,4,7.3132205
36,3,6.84588
72,2,7.3132205
28,4,7.2050037
57,2,6.5510802
69,2,4.9272537
55,2,6.7165947
44,2,7.130899
40,1,5.1059456
32,2,6.1737862
31,4,7.0508509
60,4,7.2262092
56,2,6.3279366
32,1,6.252347
32,1,5.9401712
26,1,5.768321
38,3,6.4361506
31,4,6.6066504
48,4,7.2331738
22,1,6.3279366
24,2,6.1737862
34,4,7.2739944
43,1,6.856462
23,2,5.8791351
29,5,7.2048926
42,4,7.130899
54,3,6.9077554
24,3,6.4614682
51,1,6.253829
28,3,6.5424719
51,4,7.343523
52,3,5.1929569
50,3,7.4736371
48,3,7.5383887
47,1,6.8669333
62,5,7.9332447
37,4,6.868526
45,4,7.9262414
53,2,6.5118494
70,3,7.8981509
40,5,7.4558768
26,3,6.2633982
34,4,7.4108553
67,3,6.5940852
34,3,6.6066504
67,4,7.3626451
42,2,7.0561752
52,5,5.7037826
27,5,7.2050037
58,3,7.4085307
48,4,6.2461066
22,2,6.1737862
39,4,7.967145
50,3,6.4520488
25,2,7.1212525
25,2,6.5395861
34,4,6.6200733
31,4,6.5400195
23,1,5.8861041
53,4,7.3873253
22,3,5.9914646
27,3,6.1312265
33,1,5.9914646
58,5,7.8980398
40,3,7.967145
29,4,6.6541524
38,4,7.9669337
49,2,7.0900769
59,5,6.6846118
33,4,7.456316
38,4,6.868526
27,2,6.4769726
29,3,6.3279366
43,2,7.0508509
53,2,7.9010072
35,1,6.5792513
23,1,5.4413781
47,1,6.2146082
61,5,7.839313
25,4,6.5940852
61,4,7.4643264
29,1,6.3099184
34,4,5.9661469
51,2,6.3969297
31,2,6.8679743
32,2,6.2146082
39,2,7.4097419
37,4,6.868526
35,3,5.857933
39,4,7.967145
35,2,7.2387195
29,2,6.8679743
32,3,6.8679743
40,2,5.8861041
22,4,5.5367041
46,4,5.084691
47,1,6.7391
55,4,7.4451432
21,3,6.1345472
44,5,7.967145
67,4,3.7196512
36,3,6.5072775
34,4,7.260572
42,2,3.8340614
42,2,7.0030656
50,3,7.2442274
44,1,6.3969297
69,2,6.3969297
65,3,7.2739944
55,3,7.967145
44,4,7.5616417
49,2,7.0508509
32,2,7.130899
36,5,7.3132205
52,2,6.84588
28,4,7.6568103
21,2,6.1737862
53,2,6.9077554
57,5,7.495542
45,2,6.2146082
44,2,7.2050037
39,4,7.5616417
47,4,7.967145
47,5,7.7360754
40,4,6.9077554
43,3,6.9631901
46,5,7.0508509
47,3,7.967145
26,3,7.0900769
55,5,7.7848229
39,2,6.6846118
49,3,7.9010072
39,4,7.130899
53,3,6.6045671
44,4,7.0900769
44,4,7.967145
47,2,5.8861041
44,2,7.3132205
37,1,5.7807436
35,5,6.4614682
50,1,6.4614682
67,1,5.9914646
42,3,6.947937
28,2,6.3969297
49,2,6.3969297
31,3,6.8679743
63,5,7.1459846
32,2,6.3279366
27,3,5.9545412
25,4,5.0106354
61,3,6.5792513
62,5,7.5616779
59,4,7.967145
21,3,7.9669337
51,2,7.967145
56,3,7.8006954
51,3,7.2739944
68,4,7.7437034
60,4,5.0304379
28,3,6.8679743
50,4,7.5616417
51,4,7.9262414
22,4,5.521461
41,3,5.1239638
57,3,7.0561752
50,2,7.967145
34,2,6.4614682
33,3,7.0900769
47,3,6.3577037
32,3,7.2442274
68,3,7.2331738
42,1,6.3279366
42,3,7.967145
53,3,6.369216
46,4,7.967145
67,3,5.857933
27,4,7.2737865
52,4,7.1461658
55,1,7.8785343
44,4,6.3969297
61,5,6.8679743
60,4,7.1459846
25,3,6.6354213
52,1,6.5279579
34,1,5.6524892
45,1,5.8861041
56,4,7.3132205
